Number Of Vehicles Stopped - Horizontal,Total Waiting Time - Horizontal,Carbon Emissions Released - Horizontal,Number of Vehicles Predicted at Traffic Light - Horizontal,Number of Cars - Horizontal,Number of Buses - Horizontal,Number of Trucks - Horizontal,Number of Motorcycles - Horizontal,Number of Bicycles - Horizontal,Number Of Vehicles Stopped - Vertical,Total Waiting Time - Vertical,Carbon Emissions Released - Vertical,Number of Vehicles Predicted at Traffic Light - Vertical,Number of Cars - Vertical,Number of Buses - Vertical,Number of Trucks - Vertical,Number of Motorcycles - Vertical,Number of Bicycles - Vertical,Traffic Phase
7,147.0,27595.943201110676,0,6,1,2,1,0,3,20.0,10535.555555555557,0,2,1,0,0,0,1

6,127.0,31661.25106204005,0,6,1,2,1,0,3,23.0,10535.555555555557,0,2,1,0,0,0,1

5,107.0,28643.058846390217,0,5,1,2,1,0,3,26.0,10535.555555555557,0,2,1,0,0,0,1

4,86.0,31017.124034043354,0,5,1,2,1,0,3,29.0,10535.555555555557,0,2,1,0,0,0,1

3,65.0,27825.43863645703,0,5,1,1,1,0,3,32.0,10535.555555555557,0,2,1,0,0,0,1

2,44.0,33922.74910138147,1,5,1,1,1,0,3,35.0,10535.555555555557,0,2,1,0,0,0,1

1,22.0,34532.541566287575,1,4,1,1,1,0,3,38.0,10535.555555555557,0,2,1,0,0,0,1

1,23.0,36220.026984076954,1,4,1,1,1,0,3,41.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,30442.268794862546,0,3,1,1,1,0,3,44.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,35781.44379213554,0,3,1,1,1,0,3,47.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,41056.59304407022,2,3,1,1,1,0,3,50.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,38469.44611419379,3,3,1,1,1,0,3,53.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,21320.883950294374,3,3,0,1,1,0,3,56.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,13144.10749902498,3,4,0,1,1,0,3,59.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,15225.614023707049,4,4,0,1,1,0,3,62.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,26619.721436338805,3,3,0,1,1,0,3,65.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,30989.74137106665,4,4,0,1,1,0,3,68.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,13128.734584446216,4,3,0,1,1,0,3,71.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,26387.67383122225,4,3,0,2,1,1,3,74.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,15830.020835948148,4,3,0,2,0,1,3,77.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,23221.056249373534,5,4,0,2,0,1,3,80.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,13161.021843228846,4,3,0,2,0,1,3,83.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,28544.611441107372,4,3,1,2,0,1,3,86.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,34987.92988200342,4,4,1,1,0,1,3,89.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,43106.84541632645,5,4,1,1,0,1,3,92.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,51744.909416667375,5,4,1,2,0,1,3,95.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,20911.48609303515,5,4,1,2,0,1,3,98.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,40677.15283266602,6,4,1,2,0,1,3,101.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,74969.76317588202,7,4,2,3,0,1,3,104.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,44254.36329669336,7,4,2,2,0,1,3,107.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,21523.04124723016,7,4,2,2,0,1,3,110.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,57967.632766635455,8,4,1,3,0,1,3,113.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,65603.61785861451,8,4,1,3,1,1,3,116.0,10535.555555555557,0,2,1,0,0,0,1

0,0.0,54747.02384213083,7,3,1,3,1,1,3,119.0,10535.555555555557,0,2,1,0,0,0,1

